"地區","姓名","號次","性別","出生年次","推薦政黨","得票數","得票率","當選註記","是否現任"
"臺中市第06選區","黃國書",1,"男",1964,"民主進步黨",95725,55.74%,*,"是"
"臺中市第06選區","沈智慧",2,女,1957,"中國國民黨",69611,40.53%,,"否"
"臺中市第06選區","賀姿華",3,女,1967,"無黨籍及未經政黨推薦",6396,3.72%,,"否"
"臺中市第07選區","何欣純",1,女,1973,"民主進步黨",119098,63.07%,*,"是"
"臺中市第07選區","賴義鍠",2,"男",1967,"中國國民黨",66181,35.04%,,"否"
"臺中市第07選區","石大哉",3,"男",1970,"軍公教聯盟黨",3544,1.87%,,"否"
"臺中市第08選區","王政棋",1,"男",1966,"無黨籍及未經政黨推薦",2590,1.78%,,"否"
"臺中市第08選區","江啟臣",2,"男",1972,"中國國民黨",72024,49.61%,*,"是"
"臺中市第08選區","謝志忠",3,"男",1969,"民主進步黨",70549,48.59%,,"否"
"臺南市第01選區","黃瑞坤",1,"男",1970,"中國國民黨",36684,22.17%,,"否"
"臺南市第01選區","陳柏志",2,"男",1982,"中華統一促進黨",2091,1.26%,,"否"
"臺南市第01選區","林德旺",3,"男",1955,"無黨籍及未經政黨推薦",8841,5.34%,,"否"
"臺南市第01選區","葉宜津",4,女,1960,"民主進步黨",117842,71.22%,*,"是"
"臺南市第02選區","黃偉哲",1,"男",1963,"民主進步黨",146414,76.46%,*,"是"
"臺南市第02選區","黃耀盛",2,"男",1974,"中國國民黨",35742,18.66%,,"否"
"臺南市第02選區","黃泯甄",3,女,1975,"中華統一促進黨",2585,1.35%,,"否"
"臺南市第02選區","黃憲清",4,"男",1955,"自由台灣黨",4604,2.40%,,"否"
"臺南市第02選區","王國棟",5,"男",1968,"無黨籍及未經政黨推薦",2122,1.10%,,"否"
"臺南市第03選區","謝龍介",1,"男",1961,"中國國民黨",53705,25.72%,,"否"
"臺南市第03選區","鄧秀寶",2,女,1960,"民國黨",5247,2.51%,,"否"
"臺南市第03選區","陳亭妃",3,女,1974,"民主進步黨",149002,71.37%,*,"是"
"臺南市第03選區","翁琬甯",4,女,1965,"中華統一促進黨",796,0.38%,,"否"
"臺南市第04選區","林俊憲",1,"男",1965,"民主進步黨",117302,58.89%,*,"否"
"臺南市第04選區","傅建峰",2,"男",1959,"中華統一促進黨",1083,0.54%,,"否"
"臺南市第04選區","陳淑慧",3,女,1957,"中國國民黨",64652,32.46%,,"是"
"臺南市第04選區","陳皇州",4,"男",1964,"大愛憲改聯盟",300,0.15%,,"否"
"臺南市第04選區","楊智達",5,"男",1991,"綠黨社會民主黨聯盟",9075,4.55%,,"否"
"臺南市第04選區","蔡郁芝",6,女,1972,"時代力量",6754,3.39%,,"否"
"臺南市第05選區","王定宇",1,"男",1969,"民主進步黨",153553,72.04%,*,"否"
"臺南市第05選區","晏揚清",2,"男",1959,"台灣工黨",4004,1.87%,,"否"
"臺南市第05選區","林易煌",3,"男",1964,"中國國民黨",51742,24.27%,,"否"
"臺南市第05選區","李盈蒔",4,女,1984,"中華統一促進黨",3832,1.79%,,"否"
"桃園市第01選區","鄭運鵬",1,"男",1973,"民主進步黨",85955,47.25%,*,"否"
"桃園市第01選區","陳根德",2,"男",1956,"中國國民黨",80142,44.05%,,"是"
"桃園市第01選區","王寶萱",3,女,1982,"綠黨社會民主黨聯盟",15802,8.68%,,"否"
"桃園市第02選區","陳佩俞",1,女,1975,樹黨,3270,1.82%,,"否"
"桃園市第02選區","吳振槖",2,"男",1949,"台灣獨立黨",634,0.35%,,"否"
"桃園市第02選區","廖正井",3,"男",1945,"中國國民黨",76473,42.72%,,"是"
"桃園市第02選區","張康儀",4,女,1980,"時代力量",8062,4.50%,,"否"
"桃園市第02選區","陳賴素美",5,女,1964,"民主進步黨",89792,50.16%,*,"否"
"桃園市第02選區","黃維春",6,"男",1941,"無黨籍及未經政黨推薦",757,0.42%,,"否"
"桃園市第03選區","陳宏瑞",1,"男",1976,"民國黨",8727,5.03%,,"否"
"桃園市第03選區","徐景文",2,"男",1962,"民主進步黨",77120,44.48%,,"否"
"桃園市第03選區","賴立竹",3,"男",1979,"無黨籍及未經政黨推薦",9501,5.48%,,"否"
"桃園市第03選區","余能生",4,"男",1967,"自由台灣黨",492,0.28%,,"否"
"桃園市第03選區","陳學聖",5,"男",1957,"中國國民黨",77505,44.71%,*,"是"
"桃園市第04選區","楊麗環",1,女,1957,"中國國民黨",86253,49.95%,,"是"
"桃園市第04選區","鄭寶清",2,"男",1955,"民主進步黨",86413,50.04%,*,"否"
"桃園市第05選區","呂玉玲",1,女,1961,"中國國民黨",72965,43.86%,*,"是"
"桃園市第05選區","蕭家亮",2,"男",1959,"無黨籍及未經政黨推薦",841,0.50%,,"否"
"桃園市第05選區","張誠",3,"男",1960,"民國黨",17956,10.79%,,"否"
"桃園市第05選區","張肇良",4,"男",1964,"民主進步黨",70202,42.19%,,"否"
"桃園市第05選區","黃志浩",5,"男",1976,"無黨籍及未經政黨推薦",3517,2.11%,,"否"
"桃園市第05選區","黃國華",6,"男",1969,"健保免費連線",877,0.52%,,"否"
"桃園市第06選區","鄭振源",1,"男",1949,"台灣未來黨",2700,1.64%,,"否"
"桃園市第06選區","趙正宇",2,"男",1966,"無黨籍及未經政黨推薦",76278,46.52%,*,"否"
"桃園市第06選區","藍大山",3,"男",1959,"台灣獨立黨",1272,0.77%,,"否"
"桃園市第06選區","孫大千",4,"男",1969,"中國國民黨",75510,46.06%,,"是"
"桃園市第06選區","楊金軒",5,"男",1940,"無黨籍及未經政黨推薦",800,0.48%,,"否"
"桃園市第06選區","呂東杰",6,"男",1967,"綠黨社會民主黨聯盟",7374,4.49%,,"否"
